language: Portuguese (pt)
"Toggle Mute all users" = "Alternar Silenciar todos os usuários"
"Play/Pause" = "A pausa"
"Toggle file playback" = "Alternar reprodução de arquivo"
"Loop" = "Ciclo"
"Toggle file looping" = "Alternar loop de arquivo"
"Trim file from selection to new file" = "Corte o arquivo da seleção para o novo arquivo"
"Close File" = "Fechar arquivo"
"Close file" = "Fechar arquivo"
"Open File" = "Abrir arquivo"
"Open Audio file" = "Abrir arquivo de áudio"
"Share file" = "Compartilhar arquivo"
"Reveal file" = "Revelar arquivo"
"Show Options" = "Mostrar opções"
"Record" = "Registro"
"Toggle Record" = "Alternar registro"
"Check For New Version" = "Verifique se há uma nova versão"
"Check for New Version" = "Verifique se há uma nova versão"
"File" = "Arquivo"
"Transport" = "Transporte"
"Help" = "Socorro"
"PUBLIC " = "PÚBLICO"
"password protected, " = "protegido por senha,"
"on " = "em"
"to " = "para"
" active users" = " usuários ativos"
" active user" = " usuário ativo"
"Save current state" = "Salvar estado atual"
"Error whilst saving" = "Erro ao salvar"
"Couldn\'t write to the specified file!" = "Não foi possível gravar no arquivo especificado!"
"Load a saved state" = "Carregar um estado salvo"
"Error whilst loading" = "Erro ao carregar"
"Couldn\'t read from the specified file!" = "Não foi possível ler do arquivo especificado!"
"Audio/MIDI Settings" = "Configurações de áudio / MIDI"
"Audio Settings" = "Configurações de áudio"
"Audio/MIDI Settings..." = "Configurações de áudio / MIDI ..."
"Save current state..." = "Salvar estado atual ..."
"Load a saved state..." = "Carregar um estado salvo ..."
"Reset to default state" = "Redefinir para o estado padrão"
"Threshold" = "Limite"
"Makeup Gain" = "Ganho de maquiagem"
"Compressor" = "Compressor"
"Autoset Makeup" = "Maquiagem Autoset"
"Gain" = "Ganho"
"High Shelf" = "Prateleira alta"
"Low Shelf" = "Prateleira baixa"
"Freq 1" = "Freq 1"
"Q" = "Q"
"Freq 2" = "Freq 2"
"Parametric EQ" = "EQ paramétrico"
"Level: " = "Nível:"
"Remote address:" = "Endereço remoto:"
"Disable Sending" = "Desativar envio"
"Toggles receive muting, preventing audio from being heard for this user" = "Alterna o recebimento do silenciamento, evitando que o áudio seja ouvido por este usuário"
"Listen to only this user, and other soloed users. Alt-click to exclusively solo this user." = "Ouça apenas este usuário e outros usuários solados. Clique com a tecla Alt pressionada para isolar exclusivamente este usuário."
"Latency\r\nTest" = "Latência\r\nTeste"
"Pan" = "Pan"
"Resets jitter buffer to the minimum. Hold Alt key to reset for all (with auto)." = "Redefine o buffer de jitter para o mínimo. Segure a tecla Alt para redefinir para todos (com automático)."
"Jitter Buffer" = "Jitter Buffer"
"Change for all" = "Mudança para todos"
"Send Quality" = "Qualidade de envio"
"No Preference" = "Sem preferência"
"Preferred Recv Quality" = "Qualidade de recebimento preferida"
"Latency (ms)" = "Latência (ms)"
"Ping" = "Ping"
"PRESS" = "PRESSIONE"
"Send Quality:" = "Qualidade de envio:"
"Recv Jitter Buffer:" = "Recv Jitter Buffer:"
"Reset Dropped" = "Reinicialização descartada"
"Remove" = "Retirar"
"Removes user from your own connections, does not affect the whole group" = "Remove o usuário de suas próprias conexões, não afeta todo o grupo"
"Other end muted us" = "O outro lado nos silenciou"
"SEND DISABLED" = "ENVIAR DESATIVADO"
"Other side is muted" = "O outro lado está mudo"
"You muted them" = "Você os silenciou"
"****" = "****"
"Could not connect with user, one or both of you may need to configure your internal firewall or network router to allow SonoBus to work between you. See the help documentation to enable port forwarding on your router." = "Não foi possível conectar com o usuário; um ou ambos podem precisar configurar seu firewall interno ou roteador de rede para permitir que SonoBus funcione entre vocês. Consulte a documentação de ajuda para habilitar o encaminhamento de porta em seu roteador."
"Connecting..." = "Conectando ..."
"Measured actual round-trip latency: %d ms" = "Latência de ida e volta real medida:% d ms"
"Est. Outgoing: %.1f ms" = "Husa. Saída:% .1f ms"
"Est. Incoming: %.1f ms" = "Husa. Entrada:% .1f ms"
"Jitter: %.1f ms" = "Jitter:% .1f ms"
"Measuring actual round-trip latency" = "Medir a latência real de ida e volta"
"Mute All" = "Silencie tudo"
"Unmute All" = "Reativar tudo"
"none" = "Nenhum"
"Show advanced settings..." = "Mostrar configurações avançadas..."
"Error when trying to open audio device!" = "Erro ao tentar abrir o dispositivo de áudio!"
"(no audio output channels found)" = "(nenhum canal de saída de áudio encontrado)"
"Active Output Channels:" = "Canais de saída ativos:"
"(no audio input channels found)" = "(nenhum canal de entrada de áudio encontrado)"
"Active Input Channels:" = "Canais de entrada ativos:"
"Control Panel" = "Painel de controle"
"Opens the device\'s own control panel" = "Abre o painel de controle do próprio dispositivo"
"Reset Device" = "Reinicie o dispositivo"
"Resets the audio interface - sometimes needed after changing a device\'s properties in its custom control panel" = "Redefine a interface de áudio - às vezes necessária após alterar as propriedades de um dispositivo em seu painel de controle personalizado"
"Output:" = "Resultado:"
"Device:" = "Dispositivo:"
"Test" = "Teste"
"Plays a test tone" = "Toca um tom de teste"
"Input:" = "Entrada:"
"Sample rate:" = "Taxa de amostragem:"
"Audio Buffer Size:" = "Tamanho do Buffer de Áudio:"
"Audio device type:" = "Tipo de dispositivo de áudio:"
"No MIDI inputs available" = "Sem entradas MIDI disponíveis"
"Active MIDI inputs:" = "Entradas MIDI ativas:"
"Bluetooth MIDI" = "MIDI Bluetooth"
"Scan for bluetooth MIDI devices" = "Procurar dispositivos Bluetooth MIDI"
"MIDI Output:" = "Saída MIDI:"
