language: Portuguese (pt)
"Toggle Mute all users" = "Alternar Silenciar todos os usuários"
"Play/Pause" = "Tocar/Pausar"
"Toggle file playback" = "Alternar reprodução de arquivo"
"Loop" = "Ciclo"
"Toggle file looping" = "Alternar loop de arquivo"
"Trim file from selection to new file" = "Corte o arquivo da seleção para o novo arquivo"
"Close File" = "Fechar Arquivo"
"Close file" = "Fechar arquivo"
"Open File" = "Abrir Arquivo"
"Open Audio file" = "Abrir Arquivo de Áudio"
"Share file" = "Compartilhar arquivo"
"Reveal file" = "Revelar arquivo"
"Show Options" = "Mostrar Opções"
"Record" = "Gravar"
"Toggle Record" = "Alternar registro"
"Check For New Version" = "Verifique se há uma Nova Versão"
"Check for New Version" = "Verifique se há uma nova versão"
"File" = "Arquivo"
"Transport" = "Transporte"
"Help" = "Ajuda"
"PUBLIC" = "PÚBLICO"
"password protected," = "protegido por senha,"
"on" = "em"
"to" = "para"
" active users" = " usuários ativos"
" active user" = " usuário ativo"
"Save current state" = "Salvar estado atual"
"Error whilst saving" = "Erro ao salvar"
"Couldn\'t write to the specified file!" = "Não foi possível gravar no arquivo especificado!"
"Load a saved state" = "Carregar um estado salvo"
"Error whilst loading" = "Erro ao carregar"
"Couldn\'t read from the specified file!" = "Não foi possível ler do arquivo especificado!"
"Audio/MIDI Settings" = "Configurações de áudio/MIDI"
"Audio Settings" = "Configurações de áudio"
"Audio/MIDI Settings..." = "Configurações de áudio/MIDI..."
"Save current state..." = "Salvar estado atual..."
"Load a saved state..." = "Carregar um estado salvo..."
"Reset to default state" = "Redefinir para o estado padrão"
"Threshold" = "Limite"
"Makeup Gain" = "Ganho de maquiagem"
"Compressor" = "Compressor"
"Autoset Makeup" = "Maquiagem Autoset"
"Gain" = "Ganho"
"High Shelf" = "Prateleira Alta"
"Low Shelf" = "Prateleira Baixa"
"Freq 1" = "Freq 1"
"Q" = "Q"
"Freq 2" = "Freq 2"
"Parametric EQ" = "EQ Paramétrico"
"Level: " = "Nível:"
"Remote address:" = "Endereço remoto:"
"Disable Sending" = "Desativar envio"
"Toggles receive muting, preventing audio from being heard for this user" = "Alterna o recebimento do silenciamento, evitando que o áudio seja ouvido por este usuário"
"Listen to only this user, and other soloed users. Alt-click to exclusively solo this user." = "Ouça apenas este usuário e outros usuários solados. Clique com a tecla Alt pressionada para isolar exclusivamente este usuário."
"Pan" = "Pan"
"Resets jitter buffer to the minimum. Hold Alt key to reset for all (with auto)." = "Redefine o buffer de jitter para o mínimo. Segure a tecla Alt para redefinir para todos (com automático)."
"Jitter Buffer" = "Jitter Buffer"
"Change for all" = "Mudança para todos"
"Send Quality" = "Qualidade de Envio"
"No Preference" = "Sem Preferência"
"Preferred Recv Quality" = "Qualidade de Recebimento Preferida"
"Latency (ms)" = "Latência (ms)"
"Ping" = "Ping"
"PRESS" = "PRESSIONE"
"Send Quality:" = "Qualidade de Envio:"
"Recv Jitter Buffer:" = "Recv Jitter Buffer:"
"Reset Dropped" = "Reinicialização Descartada"
"Remove" = "Retirar"
"Removes user from your own connections, does not affect the whole group" = "Remove o usuário de suas próprias conexões, não afeta todo o grupo"
"Other end muted us" = "O outro lado nos silenciou"
"SEND DISABLED" = "ENVIAR DESATIVADO"
"Other side is muted" = "O outro lado está mudo"
"You muted them" = "Você os silenciou"
"****" = "****"
"Could not connect with user, one or both of you may need to configure your internal firewall or network router to allow SonoBus to work between you. See the help documentation to enable port forwarding on your router." = "Não foi possível conectar com o usuário; um ou ambos podem precisar configurar seu firewall interno ou roteador de rede para permitir que SonoBus funcione entre vocês. Consulte a documentação de ajuda para habilitar o encaminhamento de porta em seu roteador."
"Connecting..." = "Conectando ..."
"Measured actual round-trip latency:" = "Latência de ida e volta real medida:"
"Est. Outgoing:" = "Husa. Saída:"
"Est. Incoming:" = "Husa. Entrada:"
"Jitter:" = "Tremor:"
"Measuring actual round-trip latency" = "Medir a latência real de ida e volta"
"Mute All" = "Silenciar Tudo"
"Unmute All" = "De"
"none" = "nenhum"
"Show advanced settings..." = "Mostrar configurações avançadas..."
"Error when trying to open audio device!" = "Erro ao tentar abrir o dispositivo de áudio!"
"(no audio output channels found)" = "(nenhum canal de saída de áudio encontrado)"
"Active Output Channels:" = "Canais de Saída Ativos:"
"(no audio input channels found)" = "(nenhum canal de entrada de áudio encontrado)"
"Active Input Channels:" = "Canais de Entrada Ativos:"
"Control Panel" = "Painel de Controle"
"Opens the device\'s own control panel" = "Abre o painel de controle do próprio dispositivo"
"Reset Device" = "Redefinir o Dispositivo"
"Resets the audio interface - sometimes needed after changing a device\'s properties in its custom control panel" = "Redefine a interface de áudio - às vezes necessária após alterar as propriedades de um dispositivo em seu painel de controle personalizado"
"Output:" = "Saída:"
"Device:" = "Dispositivo:"
"Test" = "Teste"
"Plays a test tone" = "Toca um tom de teste"
"Input:" = "Entrada:"
"Sample rate:" = "Taxa de amostragem:"
"Audio Buffer Size:" = "Tamanho do Buffer de Áudio:"
"Audio device type:" = "Tipo de dispositivo de áudio:"
"No MIDI inputs available" = "Sem entradas MIDI disponíveis"
"Active MIDI inputs:" = "Entradas MIDI ativas:"
"Bluetooth MIDI" = "MIDI Bluetooth"
"Scan for bluetooth MIDI devices" = "Procurar dispositivos bluetooth MIDI"
"MIDI Output:" = "Saída MIDI:"
"Default Jitter Buffer Time" = "Tempo de buffer de jitter padrão"
"Default User Level" = "Nível de usuário padrão"
"Sync to Host" = "Sincronizar com o Host"
"Metronome" = "Metrônomo"
"File Playback" = "Reprodução de arquivo"
"Connect directly to other instances of SonoBus on your local network with the local address that they advertise. This is experimental, using a private group is recommended instead, and works fine on local networks." = "Conecte-se diretamente a outras instâncias do SonoBus em sua rede local com o endereço local que anunciam. Isso é experimental, o uso de um grupo privado é recomendado em vez disso e funciona bem em redes locais."
"Connect to Raw Address..." = "Conectar ao endereço bruto ..."
"Shows full information for connected users" = "Mostra informações completas para usuários conectados"
"Shows minimal information for connected users" = "Mostra informações mínimas para usuários conectados"
"INPUT MIXER" = "MISTURADOR DE ENTRADA"
"MON DELAY" = "MÊS DELAY"
"Control additional self-monitoring delay, which can help mitigate synchronization with others" = "Controle o atraso de automonitoramento adicional, o que pode ajudar a mitigar a sincronização com outros"
"Synchronize metronome tempo with plugin host" = "Sincronizar o ritmo do metrônomo com o host do plugin"
"Show the connections page, while staying connected to current group" = "Mostra a página de conexões, enquanto permanece conectado ao grupo atual"
"Show/Hide Chat" = "Mostrar / ocultar bate-papo"
"Use Drift Correction (NOT RECOMMENDED)" = "Use correção de desvio (NÃO RECOMENDADO)"
"Sliders Snap to Clicked Position" = "Os controles deslizantes se ajustam à posição clicada"
"Send Multichannel" = "Enviar multicanal"
"Choose a location and name to store the setup" = "Escolha um local e nome para armazenar a configuração"
"Choose a setup file to load" = "Escolha um arquivo de configuração para carregar"
"Error while loading" = "Erro ao carregar"
"Invalid setup!" = "Configuração inválida!"
"Error while saving" = "Erro ao salvar"
"Waiting for other users to join group \"" = "Esperando que outros usuários entrem no grupo \""
" - joined group" = " - juntou-se ao grupo"
" - left group" = " - deixou o grupo"
"Close Audio File" = "Fechar arquivo de áudio"
"Close audio file" = "Fechar arquivo de áudio"
"Open Audio File..." = "Abrir arquivo de áudio ..."
"Share Audio File" = "Compartilhar arquivo de áudio"
"Share audio file" = "Compartilhar arquivo de áudio"
"Reveal Audio File" = "Revelar arquivo de áudio"
"Reveal audio file" = "Revelar arquivo de áudio"
"Load Setup..." = "Carregar configuração ..."
"Load Setup file" = "Carregar arquivo de configuração"
"Save Setup..." = "Salvar configuração ..."
"Save Setup file" = "Salvar arquivo de configuração"
"Show or hide chat area" = "Mostrar ou ocultar a área de bate-papo"
"View" = "Visualizar"
"Load Recent Setup" = "Carregar configuração recente"
"Send Level: " = "Nível de envio:"
"Reverb Send" = "Envio de reverberação"
"Enable the main reverb at the bottom of the window to hear the effect" = "Ative a reverberação principal na parte inferior da janela para ouvir o efeito"
"Main Reverb Send" = "Envio de reverberação principal"
"Crashed Last Time" = "Quebrou da última vez"
"Looks like you crashed on launch last time, restoring default settings!" = "Parece que você travou na inicialização da última vez, restaurando as configurações padrão!"
"Chat" = "Bate-papo"
"Enter message here..." = "Insira a mensagem aqui ..."
"Send" = "Mandar"
"Save Chat" = "Salvar bate-papo"
"Clear Chat" = "Limpar conversa"
"Add New Input Group" = "Adicionar Novo Grupo de Entrada"
"CLEAR" = "CLARO"
"Remove all input groups" = "Remova todos os grupos de entrada"
"Monitor: " = "Monitor:"
"Pre Level: " = "Pré-nível:"
"Set name for this group that others will see" = "Defina um nome para este grupo que outras pessoas verão"
"Click to toggle extra information visibility" = "Clique para alternar a visibilidade de informações extras"
"Mute this channel for both sending and monitoring" = "Silencie este canal para envio e monitoramento"
"Solo - Listen to only this user, and other soloed users. Alt-click to exclusively solo this user." = "Solo - Ouça apenas este usuário e outros usuários solados. Clique com a tecla Alt pressionada para isolar exclusivamente este usuário."
"Solo - Listen to only this channel for this user" = "Solo - Ouça apenas este canal para este usuário"
"Solo - Listen to only this channel, does not affect sending" = "Solo - Ouça apenas este canal, não afeta o envio"
"Monitor output level" = "Monitorar o nível de saída"
"Change channel layout" = "Alterar o layout do canal"
"Select Input channel source (or drag to rearrange)" = "Selecione a fonte do canal de entrada (ou arraste para reorganizar)"
"mono" = "mono"
"Choose destination output channels" = "Escolha os canais de saída de destino"
"Choose destination monitoring channels" = "Escolha os canais de monitoramento de destino"
"Edit input effects (applied before sending)" = "Editar efeitos de entrada (aplicado antes de enviar)"
"Edit effects" = "Editar efeitos"
"M.FX" = "M.FX"
"Edit input monitoring effects (applied to local monitoring only)" = "Editar efeitos de monitoramento de entrada (aplicado apenas ao monitoramento local)"
"Edit monitoring effects" = "Editar efeitos de monitoramento"
"ch" = "CH"
"Confirm Remove of All Inputs" = "Confirme a remoção de todas as entradas"
"ADD INPUT GROUP:" = "ADICIONE GRUPO DE ENTRADA:"
"Mono" = "Mono"
"Stereo" = "Estéreo"
"channel" = "canal"
"CHANGE CHANNEL LAYOUT:" = "MUDAR O LAYOUT DO CANAL:"
"<Restore Original Layout>" = "<Restaurar Layout Original>"
"SELECT INPUTS:" = "SELECIONE AS ENTRADAS:"
"SELECT INPUT:" = "SELECIONE A ENTRADA:"
"CHANGE LAYOUT..." = "ALTERAR LAYOUT ..."
"REMOVE" = "RETIRAR"
"SELECT MONITOR OUT:" = "SELECIONE O MONITOR DE SAÍDA:"
"Change all" = "Mude tudo"
"Removes pending user from list" = "Remove usuário pendente da lista"
"Estimated Round-trip Latency:" = "Latência estimada de ida e volta:"
"Round-trip Network Ping:" = "Ping de rede de ida e volta:"
"Est. Jitter:" = "Husa. Jitter:"
"Legacy-mode, ask them \r\n to install latest version" = "Modo legado, pergunte a eles\r\n instalar a última versão"
"Delay Time" = "Tempo de atraso"
"One-way" = "Mão única"
"Round-trip" = "Ida e volta"
"Set From Peers" = "Conjunto de pares"
"Pressing this will calculate an average latency for all connected peers and set the monitoring delay time accordingly, based on one-way or round-trip choice selection" = "Pressionar isso irá calcular uma latência média para todos os pares conectados e definir o tempo de atraso de monitoramento de acordo, com base na seleção de escolha de ida ou volta"
"Link Delay Time with other inputs" = "Tempo de atraso do link com outras entradas"
"Additional Monitoring Delay" = "Atraso de monitoramento adicional"
